round,test_acc,val_acc
0,0.506498,0.486641
1,0.50119,0.530534
2,0.521142,0.53626
3,0.495515,0.514313
4,0.533773,0.520992
5,0.505583,0.487595
6,0.814022,0.816794
7,0.772469,0.792939
8,0.832876,0.829198
9,0.839282,0.844466
10,0.851547,0.841603
11,0.851364,0.844466
12,0.853743,0.85687
13,0.697785,0.741412
14,0.853377,0.85687
15,0.863079,0.869275
16,0.872781,0.873092
17,0.877357,0.879771
18,0.877906,0.885496
19,0.877906,0.882634
