round,test_acc,val_acc
0,0.519495,0.495229
1,0.50778,0.525763
2,0.513637,0.486641
3,0.5054,0.486641
4,0.528281,0.512405
5,0.569467,0.592557
6,0.60864,0.583015
7,0.522607,0.496183
8,0.571847,0.539122
9,0.826469,0.817748
10,0.82592,0.823473
11,0.831045,0.831107
12,0.827567,0.832061
13,0.844225,0.836832
14,0.855757,0.850191
15,0.857038,0.853053
16,0.857038,0.849237
17,0.859601,0.854962
18,0.860516,0.862595
19,0.863628,0.861641
