round,test_acc,val_acc
0,0.518763,0.502863
1,0.541278,0.516221
2,0.537617,0.509542
3,0.488742,0.5
4,0.568552,0.57729
5,0.580816,0.582061
6,0.581366,0.586832
7,0.595826,0.604008
8,0.616694,0.624046
9,0.512173,0.486641
10,0.547867,0.533397
11,0.550796,0.555344
12,0.571481,0.572519
13,0.595826,0.617366
14,0.650924,0.660305
15,0.732381,0.722328
16,0.817866,0.806298
17,0.820977,0.811069
18,0.830862,0.830153
19,0.827201,0.831107
