line,round,client,train_acc,train_loss,train_avg_loss,train_total,log
1254,0,6,0.51875,445.178286,0.695591,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1258,0,12,0.521875,444.286188,0.694197,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1262,0,10,0.521875,445.543137,0.696161,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1266,0,9,0.504687,445.31599,0.695806,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1270,0,13,0.5125,448.471889,0.700737,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1274,0,44,0.5,448.589228,0.700921,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1278,0,38,0.490625,448.548107,0.700856,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1436,1,18,0.526563,445.50127,0.696096,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1440,1,29,0.492188,449.390005,0.702172,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1444,1,44,0.489063,446.08662,0.69701,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1448,1,14,0.5125,445.837097,0.69662,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1452,1,12,0.540625,440.220272,0.687844,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1456,1,21,0.484375,448.001085,0.700002,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1460,1,2,0.501563,446.566351,0.69776,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1464,1,43,0.50625,449.108042,0.701731,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1468,1,47,0.523438,447.955629,0.699931,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1472,1,40,0.525,445.332827,0.695833,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1476,1,41,0.50625,446.982809,0.698411,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1480,1,32,0.503125,445.053761,0.695397,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1484,1,15,0.470313,448.337296,0.700527,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1488,1,28,0.453125,445.893364,0.696708,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1492,1,39,0.495312,447.917463,0.699871,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1496,1,31,0.498437,445.791416,0.696549,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1500,1,11,0.525,447.972092,0.699956,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1504,1,3,0.517188,443.976772,0.693714,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1508,1,38,0.492188,449.805599,0.702821,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1512,1,30,0.540625,447.568001,0.699325,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1516,1,48,0.510938,445.734287,0.69646,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1520,1,20,0.517188,444.493771,0.694522,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1524,1,6,0.510938,445.930393,0.696766,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1528,1,37,0.523438,444.801914,0.695003,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1532,1,34,0.535937,445.754025,0.696491,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
