line,round,phase,log
1785,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1786,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1787,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1788,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1789,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1790,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1791,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1792,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1793,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1794,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1795,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1796,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1797,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1798,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1799,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1800,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1801,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1802,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1803,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1804,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1805,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1806,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1807,1,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1808,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1809,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1810,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1811,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1812,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1813,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1814,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1815,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1816,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1817,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1818,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1819,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1820,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1821,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1822,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1823,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1824,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1825,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1826,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1827,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1828,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1829,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1830,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1831,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1832,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1833,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1834,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1835,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1836,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1837,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1838,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1839,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1840,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1841,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1842,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1843,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1844,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1845,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1846,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1847,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1848,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1849,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1850,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1851,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1852,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1853,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1854,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1855,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1856,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1857,2,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1858,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1859,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1860,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1861,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1862,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1863,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1864,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1865,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1866,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1867,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1868,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1869,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1870,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1871,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1872,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1873,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1874,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1875,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1876,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1877,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1878,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1879,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1880,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1881,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1882,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
1883,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2721,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2722,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2723,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2724,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2725,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2726,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2727,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2728,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2729,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2730,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2731,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2732,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2733,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2734,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2735,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2736,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2737,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2738,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2739,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2740,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2741,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2742,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2743,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2744,3,A,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2745,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2746,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2747,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2748,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2749,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2750,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2751,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2752,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2753,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2754,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2755,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2756,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2757,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2758,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2759,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2760,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2761,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2762,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2763,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2764,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2765,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2766,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2767,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2768,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2769,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2770,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2771,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2772,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2773,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2774,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2775,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2776,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2777,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2778,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2779,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2780,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2781,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2782,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2783,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2784,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2785,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2786,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2787,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
2788,4,B,results/overnight_proxy_orth_a_c50_r4_lr1e-2_seed0.log
