round,test_acc,val_acc
0,0.487644,0.500954
1,0.475929,0.491412
2,0.517664,0.500954
3,0.550979,0.535305
4,0.582098,0.563931
5,0.493502,0.508588
6,0.4946,0.514313
7,0.600403,0.602099
8,0.698883,0.687023
9,0.749039,0.75
10,0.814022,0.806298
11,0.5054,0.486641
12,0.623833,0.61355
13,0.714443,0.688931
14,0.831594,0.835878
15,0.830862,0.835878
16,0.842943,0.851145
17,0.839099,0.84542
18,0.854476,0.857824
19,0.854293,0.858779
