round,test_acc,val_acc
0,0.509793,0.520992
1,0.51199,0.526718
2,0.508512,0.527672
3,0.506132,0.487595
4,0.579535,0.594466
5,0.531393,0.521947
6,0.829032,0.82729
7,0.835621,0.830153
8,0.842211,0.839695
9,0.848618,0.854008
10,0.851547,0.854962
11,0.858503,0.864504
12,0.858869,0.862595
13,0.867655,0.873092
14,0.866557,0.871183
15,0.871499,0.878817
16,0.874062,0.882634
17,0.870218,0.871183
18,0.882482,0.883588
19,0.882848,0.882634
