round,test_acc,val_acc
0,0.516749,0.502863
1,0.518396,0.51145
2,0.531942,0.502863
3,0.5054,0.525763
4,0.532674,0.534351
5,0.508329,0.485687
6,0.571481,0.57729
7,0.551162,0.545802
8,0.553542,0.562023
9,0.733846,0.723282
10,0.766246,0.769084
