round,test_acc,val_acc
0,0.509793,0.520992
1,0.510708,0.523855
2,0.508329,0.527672
3,0.505766,0.487595
4,0.576057,0.590649
5,0.530844,0.513359
6,0.838001,0.834924
7,0.835805,0.835878
8,0.845506,0.842557
9,0.850632,0.84542
10,0.856489,0.853053
11,0.85777,0.858779
12,0.863628,0.873092
13,0.867655,0.875
14,0.868021,0.866412
15,0.871499,0.882634
16,0.87333,0.88645
17,0.872964,0.874046
18,0.881933,0.888359
19,0.882665,0.888359
