line,round,phase,log
1077,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1081,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1085,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1089,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1093,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1097,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1101,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1105,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1109,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1113,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1117,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1121,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1125,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1129,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1133,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1137,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1141,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1145,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1149,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1153,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1157,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1161,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1165,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1169,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1173,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1177,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1181,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1185,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1189,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1193,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1197,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1201,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1205,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1209,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1213,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1217,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1221,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1225,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1229,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1233,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1237,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1242,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1247,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1251,0,B,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
