line,log,kind,client_count,sample_size_total,client_delta_lora_A_mean,client_delta_lora_A_std,client_delta_lora_A_max,client_delta_lora_A_min,client_delta_lora_B_mean,client_delta_lora_B_std,client_delta_lora_B_max,client_delta_lora_B_min,client_delta_classifier_mean,client_delta_classifier_std,client_delta_classifier_max,client_delta_classifier_min,round,aggregator,aggregate_update_lora_A_norm,aggregate_update_lora_A_params,aggregate_update_lora_B_norm,aggregate_update_lora_B_params,aggregate_update_classifier_norm,aggregate_update_classifier_params,aggregate_lora_A_norm,aggregate_lora_A_params,aggregate_lora_B_norm,aggregate_lora_B_params,aggregate_classifier_norm,aggregate_classifier_params,aggregate_lora_product_norm
1284,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.02034795,0.00821657,0.06803788,0.0,0.04045432,0.00902294,0.0597553,0.0,0,ClientsAvgAggregator,,,,,,,,,,,,,
1285,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,0,ClientsAvgAggregator,0.0,0,0.01363779,73728,0.02872344,1184260,0.0,0,0.0058632,73728,21.73947205,1184260,0.0
1645,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.02044214,0.00503193,0.03800489,0.0,0.0428789,0.01048143,0.06304827,0.0,1,ClientsAvgAggregator,,,,,,,,,,,,,
1646,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,1,ClientsAvgAggregator,0.0,0,0.01478105,73728,0.03266316,1184260,0.0,0,0.01021947,73728,21.73894609,1184260,0.0
2006,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.02101927,0.00654763,0.04089181,0.0,0.03740788,0.00803711,0.06127784,0.0,2,ClientsAvgAggregator,,,,,,,,,,,,,
2007,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,2,ClientsAvgAggregator,0.0,0,0.01374206,73728,0.02453575,1184260,0.0,0,0.0147513,73728,21.73842868,1184260,0.0
2367,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.01792368,0.00415773,0.03132871,0.0,0.03777592,0.00793856,0.05617522,0.0,3,ClientsAvgAggregator,,,,,,,,,,,,,
2368,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,3,ClientsAvgAggregator,0.0,0,0.01258774,73728,0.02549988,1184260,0.0,0,0.01918999,73728,21.73790443,1184260,0.0
2728,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.01447625,0.00839962,0.02833708,0.0,0.0,0.0,0.0,0.0,0.03656985,0.00722756,0.05226718,0.0,4,ClientsAvgAggregator,,,,,,,,,,,,,
2729,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,4,ClientsAvgAggregator,0.01446272,73728,0.0,0,0.02453665,1184260,9.78817974,73728,0.0,0,21.73739006,1184260,0.0
3089,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.24153764,0.05672119,0.30095016,0.0,0.03365179,0.00605059,0.0470628,0.0,5,ClientsAvgAggregator,,,,,,,,,,,,,
