line,log,kind,client_count,sample_size_total,client_delta_lora_A_mean,client_delta_lora_A_std,client_delta_lora_A_max,client_delta_lora_A_min,client_delta_lora_B_mean,client_delta_lora_B_std,client_delta_lora_B_max,client_delta_lora_B_min,client_delta_classifier_mean,client_delta_classifier_std,client_delta_classifier_max,client_delta_classifier_min,round,aggregator,aggregate_update_lora_A_norm,aggregate_update_lora_A_params,aggregate_update_lora_B_norm,aggregate_update_lora_B_params,aggregate_update_classifier_norm,aggregate_update_classifier_params,aggregate_lora_A_norm,aggregate_lora_A_params,aggregate_lora_B_norm,aggregate_lora_B_params,aggregate_classifier_norm,aggregate_classifier_params,aggregate_lora_product_norm
4172,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,8,ClientsAvgAggregator,0.18646409,73728,0.0,0,0.03987782,1184260,9.79039788,73728,0.0,0,21.77578754,1184260,0.0
4533,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.7026901,0.3020506,1.14473528,0.0,0.05005263,0.01032088,0.08048395,0.0,9,ClientsAvgAggregator,,,,,,,,,,,,,
4534,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,9,ClientsAvgAggregator,0.0,0,0.61837971,73728,0.03540333,1184260,0.0,0,0.87705627,73728,21.7753103,1184260,0.0
4894,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.21890517,0.03232336,0.24791869,0.0,0.04787583,0.00912706,0.07645202,0.0,10,ClientsAvgAggregator,,,,,,,,,,,,,
4895,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,10,ClientsAvgAggregator,0.0,0,0.15830357,73728,0.03486666,1184260,0.0,0,0.8920808,73728,21.77481575,1184260,0.0
5255,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.22379359,0.03347822,0.25322775,0.0,0.04841736,0.00748556,0.05672458,0.0,11,ClientsAvgAggregator,,,,,,,,,,,,,
5256,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,11,ClientsAvgAggregator,0.0,0,0.16275476,73728,0.03620532,1184260,0.0,0,0.90614359,73728,21.77440223,1184260,0.0
5616,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.2371779,0.0349841,0.26146696,0.0,0.04405915,0.00687116,0.05330892,0.0,12,ClientsAvgAggregator,,,,,,,,,,,,,
5617,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,12,ClientsAvgAggregator,0.0,0,0.1807156,73728,0.02934654,1184260,0.0,0,0.91929998,73728,21.77391414,1184260,0.0
5977,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.21743036,0.09983898,0.40144976,0.0,0.0,0.0,0.0,0.0,0.04536218,0.00846065,0.06330405,0.0,13,ClientsAvgAggregator,,,,,,,,,,,,,
5978,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,13,ClientsAvgAggregator,0.19497186,73728,0.0,0,0.03097041,1184260,9.78873709,73728,0.0,0,21.77357814,1184260,0.0
6338,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.6718705,0.250393,1.04990146,0.0,0.0450656,0.00816744,0.06705552,0.0,14,ClientsAvgAggregator,,,,,,,,,,,,,
6339,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,14,ClientsAvgAggregator,0.0,0,0.57539029,73728,0.03019878,1184260,0.0,0,1.27751852,73728,21.77308233,1184260,0.0
6699,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.21717281,0.03246082,0.24477639,0.0,0.0409464,0.00644979,0.05254807,0.0,15,ClientsAvgAggregator,,,,,,,,,,,,,
6700,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,15,ClientsAvgAggregator,0.0,0,0.15048191,73728,0.02688247,1184260,0.0,0,1.28384387,73728,21.77262945,1184260,0.0
7060,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.2207685,0.03285491,0.24948955,0.0,0.0443596,0.00723813,0.05572583,0.0,16,ClientsAvgAggregator,,,,,,,,,,,,,
7061,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,16,ClientsAvgAggregator,0.0,0,0.15607329,73728,0.03163711,1184260,0.0,0,1.28892992,73728,21.77213831,1184260,0.0
7421,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.23680554,0.09331918,0.38707245,0.0,0.0,0.0,0.0,0.0,0.0406527,0.00677176,0.05254266,0.0,17,ClientsAvgAggregator,,,,,,,,,,,,,
7422,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,17,ClientsAvgAggregator,0.20911624,73728,0.0,0,0.02579816,1184260,9.78664575,73728,0.0,0,21.77174412,1184260,0.0
7782,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.61358092,0.21520052,0.9305568,0.0,0.04986762,0.00983851,0.06906219,0.0,18,ClientsAvgAggregator,,,,,,,,,,,,,
7783,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,18,ClientsAvgAggregator,0.0,0,0.51937709,73728,0.03688575,1184260,0.0,0,1.53525533,73728,21.77122745,1184260,0.0
8143,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.20344482,0.03047439,0.22580784,0.0,0.04227896,0.00702457,0.05122091,0.0,19,ClientsAvgAggregator,,,,,,,,,,,,,
8144,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,19,ClientsAvgAggregator,0.0,0,0.1373642,73728,0.02921157,1184260,0.0,0,1.5382081,73728,21.77079565,1184260,0.0
