line,log,kind,client_count,sample_size_total,client_delta_lora_A_mean,client_delta_lora_A_std,client_delta_lora_A_max,client_delta_lora_A_min,client_delta_lora_B_mean,client_delta_lora_B_std,client_delta_lora_B_max,client_delta_lora_B_min,client_delta_classifier_mean,client_delta_classifier_std,client_delta_classifier_max,client_delta_classifier_min,round,aggregator,aggregate_update_lora_A_norm,aggregate_update_lora_A_params,aggregate_update_lora_B_norm,aggregate_update_lora_B_params,aggregate_update_classifier_norm,aggregate_update_classifier_params,aggregate_lora_A_norm,aggregate_lora_A_params,aggregate_lora_B_norm,aggregate_lora_B_params,aggregate_classifier_norm,aggregate_classifier_params,aggregate_lora_product_norm
1284,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.02536604,0.00868691,0.06946278,0.0,0.04028866,0.0084432,0.06286254,0.0,0,ClientsAvgAggregator,,,,,,,,,,,,,
1285,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,0,ClientsAvgAggregator,0.0,0,0.01758902,73728,0.03074315,1184260,0.0,0,0.00601888,73728,21.77844304,1184260,0.0
1645,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.02457805,0.0232693,0.18371801,0.0,0.0373755,0.0088719,0.05807557,0.0,1,ClientsAvgAggregator,,,,,,,,,,,,,
1646,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,1,ClientsAvgAggregator,0.0,0,0.01556821,73728,0.0267032,1184260,0.0,0,0.01156143,73728,21.77791772,1184260,0.0
2006,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.02604834,0.01271772,0.09807844,0.0,0.04353363,0.00999203,0.06427485,0.0,2,ClientsAvgAggregator,,,,,,,,,,,,,
2007,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,2,ClientsAvgAggregator,0.0,0,0.01764271,73728,0.03442967,1184260,0.0,0,0.01534793,73728,21.77740721,1184260,0.0
2367,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0117017,0.00690073,0.02363247,0.0,0.0,0.0,0.0,0.0,0.03776583,0.00762873,0.05590351,0.0,3,ClientsAvgAggregator,,,,,,,,,,,,,
2368,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,3,ClientsAvgAggregator,0.01169112,73728,0.0,0,0.02810518,1184260,9.78814248,73728,0.0,0,21.77689361,1184260,0.0
2728,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.66042467,0.21919335,0.83639385,0.0,0.04899531,0.00983705,0.06875281,0.0,4,ClientsAvgAggregator,,,,,,,,,,,,,
2729,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,4,ClientsAvgAggregator,0.0,0,0.63287633,73728,0.03508663,1184260,0.0,0,0.25611496,73728,21.77648866,1184260,0.0
3089,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.08816374,0.01685766,0.12752129,0.0,0.04781661,0.00960992,0.07618269,0.0,5,ClientsAvgAggregator,,,,,,,,,,,,,
3090,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,5,ClientsAvgAggregator,0.0,0,0.06177505,73728,0.03379914,1184260,0.0,0,0.3159105,73728,21.77629878,1184260,0.0
3450,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.14982733,0.02556696,0.20693466,0.0,0.0632587,0.01172908,0.08659844,0.0,6,ClientsAvgAggregator,,,,,,,,,,,,,
3451,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,6,ClientsAvgAggregator,0.0,0,0.11258398,73728,0.04875635,1184260,0.0,0,0.3736838,73728,21.77592643,1184260,0.0
3811,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.16418529,0.02589843,0.21046691,0.0,0.06115936,0.01062689,0.08619867,0.0,7,ClientsAvgAggregator,,,,,,,,,,,,,
3812,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_result,,,,,,,,,,,,,,,7,ClientsAvgAggregator,0.0,0,0.12212929,73728,0.04466149,1184260,0.0,0,0.42460139,73728,21.7755753,1184260,0.0
4171,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log,aggregate_client_drift,50,32000,0.19515816,0.11127281,0.41770898,0.0,0.0,0.0,0.0,0.0,0.05395804,0.00961365,0.06855048,0.0,8,ClientsAvgAggregator,,,,,,,,,,,,,
