line,log,kind,total_param_count,total_trainable_params,lora_product_norm,lora_A_norm,lora_A_params,lora_A_trainable_params,lora_B_norm,lora_B_params,lora_B_trainable_params,classifier_norm,classifier_params,classifier_trainable_params,round,phase,mode,update_lora_A_norm,update_lora_A_params,update_lora_B_norm,update_lora_B_params,update_classifier_norm,update_classifier_params,client,sample_size
1082,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1083,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.02255595,9.79795887,73728,0,0.02255595,73728,73728,21.7394406,1184260,1184260,0,B,rolora,0.0,0,0.02255595,73728,0.03527543,1184260,,
1086,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1087,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01688572,9.79795887,73728,0,0.01688572,73728,73728,21.73948628,1184260,1184260,0,B,rolora,0.0,0,0.01688571,73728,0.02323404,1184260,,
1090,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1091,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.06372276,9.79795887,73728,0,0.06372276,73728,73728,21.73951308,1184260,1184260,0,B,rolora,0.0,0,0.06372276,73728,0.03775636,1184260,,
1094,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1095,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01742183,9.79795887,73728,0,0.01742183,73728,73728,21.73940994,1184260,1184260,0,B,rolora,0.0,0,0.01742183,73728,0.0340295,1184260,,
1098,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1099,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01296744,9.79795887,73728,0,0.01296744,73728,73728,21.73948344,1184260,1184260,0,B,rolora,0.0,0,0.01296744,73728,0.02688616,1184260,,
1102,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1103,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01106244,9.79795887,73728,0,0.01106244,73728,73728,21.73945208,1184260,1184260,0,B,rolora,0.0,0,0.01106244,73728,0.02960742,1184260,,
1106,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1107,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.0146869,9.79795887,73728,0,0.0146869,73728,73728,21.73946701,1184260,1184260,0,B,rolora,0.0,0,0.0146869,73728,0.02440454,1184260,,
1110,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1111,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.017672,9.79795887,73728,0,0.017672,73728,73728,21.73947368,1184260,1184260,0,B,rolora,0.0,0,0.017672,73728,0.03590262,1184260,,
1114,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1115,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.02062642,9.79795887,73728,0,0.02062642,73728,73728,21.73949569,1184260,1184260,0,B,rolora,0.0,0,0.02062642,73728,0.03952767,1184260,,
1118,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1119,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01602338,9.79795887,73728,0,0.01602338,73728,73728,21.73950635,1184260,1184260,0,B,rolora,0.0,0,0.01602338,73728,0.03341065,1184260,,
1122,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1123,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01285928,9.79795887,73728,0,0.01285928,73728,73728,21.73953902,1184260,1184260,0,B,rolora,0.0,0,0.01285928,73728,0.03022685,1184260,,
1126,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1127,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01176906,9.79795887,73728,0,0.01176906,73728,73728,21.73954802,1184260,1184260,0,B,rolora,0.0,0,0.01176906,73728,0.03790831,1184260,,
1130,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1131,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.0198447,9.79795887,73728,0,0.0198447,73728,73728,21.73948258,1184260,1184260,0,B,rolora,0.0,0,0.0198447,73728,0.03391422,1184260,,
1134,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1135,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.0106955,9.79795887,73728,0,0.0106955,73728,73728,21.73950245,1184260,1184260,0,B,rolora,0.0,0,0.0106955,73728,0.02758154,1184260,,
1138,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1139,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01372159,9.79795887,73728,0,0.01372159,73728,73728,21.73949526,1184260,1184260,0,B,rolora,0.0,0,0.01372159,73728,0.04181853,1184260,,
1142,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1143,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01517055,9.79795887,73728,0,0.01517055,73728,73728,21.73950309,1184260,1184260,0,B,rolora,0.0,0,0.01517055,73728,0.0329428,1184260,,
1146,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1147,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01885694,9.79795887,73728,0,0.01885694,73728,73728,21.73945448,1184260,1184260,0,B,rolora,0.0,0,0.01885694,73728,0.03164824,1184260,,
1150,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1151,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01537112,9.79795887,73728,0,0.01537113,73728,73728,21.7394075,1184260,1184260,0,B,rolora,0.0,0,0.01537113,73728,0.02385661,1184260,,
1154,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1155,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01348153,9.79795887,73728,0,0.01348153,73728,73728,21.73942271,1184260,1184260,0,B,rolora,0.0,0,0.01348153,73728,0.03432314,1184260,,
1158,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1159,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01224427,9.79795887,73728,0,0.01224427,73728,73728,21.73950597,1184260,1184260,0,B,rolora,0.0,0,0.01224427,73728,0.02392688,1184260,,
1162,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1163,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.03879088,9.79795887,73728,0,0.03879088,73728,73728,21.73954917,1184260,1184260,0,B,rolora,0.0,0,0.03879088,73728,0.03144342,1184260,,
1166,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1167,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01525469,9.79795887,73728,0,0.01525469,73728,73728,21.73958058,1184260,1184260,0,B,rolora,0.0,0,0.01525469,73728,0.02792353,1184260,,
1170,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1171,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.0123891,9.79795887,73728,0,0.0123891,73728,73728,21.739482,1184260,1184260,0,B,rolora,0.0,0,0.0123891,73728,0.03862366,1184260,,
1174,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1175,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01689892,9.79795887,73728,0,0.01689892,73728,73728,21.7394841,1184260,1184260,0,B,rolora,0.0,0,0.01689892,73728,0.02863598,1184260,,
1178,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1179,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01145546,9.79795887,73728,0,0.01145546,73728,73728,21.73954001,1184260,1184260,0,B,rolora,0.0,0,0.01145546,73728,0.04005243,1184260,,
1182,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1183,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01300785,9.79795887,73728,0,0.01300785,73728,73728,21.73953436,1184260,1184260,0,B,rolora,0.0,0,0.01300785,73728,0.02876284,1184260,,
1186,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1187,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01136958,9.79795887,73728,0,0.01136958,73728,73728,21.73950237,1184260,1184260,0,B,rolora,0.0,0,0.01136958,73728,0.03631543,1184260,,
1190,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1191,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.02080496,9.79795887,73728,0,0.02080496,73728,73728,21.73959755,1184260,1184260,0,B,rolora,0.0,0,0.02080496,73728,0.02570662,1184260,,
1194,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1195,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01154989,9.79795887,73728,0,0.01154989,73728,73728,21.73947309,1184260,1184260,0,B,rolora,0.0,0,0.01154989,73728,0.02657848,1184260,,
1198,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1199,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01229069,9.79795887,73728,0,0.01229069,73728,73728,21.7394982,1184260,1184260,0,B,rolora,0.0,0,0.01229069,73728,0.02334941,1184260,,
1202,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
