round,test_acc,val_acc
0,0.485814,0.503817
1,0.503753,0.495229
2,0.481054,0.503817
3,0.494417,0.513359
4,0.512539,0.505725
5,0.506315,0.509542
6,0.4946,0.513359
7,0.549881,0.528626
8,0.513271,0.532443
9,0.614314,0.605916
10,0.762402,0.787214
11,0.567271,0.552481
12,0.808713,0.825382
13,0.816584,0.830153
14,0.83434,0.849237
15,0.834706,0.848282
16,0.841113,0.862595
17,0.841479,0.859733
18,0.853926,0.861641
19,0.851364,0.853053
