round,test_acc,val_acc
0,0.5054,0.493321
1,0.514369,0.487595
2,0.5054,0.486641
3,0.507047,0.489504
4,0.685887,0.674618
5,0.764598,0.759542
6,0.79114,0.807252
7,0.796266,0.80916
8,0.796632,0.813931
9,0.827018,0.839695
10,0.835621,0.849237
11,0.835988,0.848282
12,0.837818,0.84542
13,0.842943,0.849237
14,0.856306,0.86355
15,0.857587,0.861641
16,0.859235,0.866412
17,0.860699,0.868321
18,0.867289,0.865458
19,0.87095,0.873092
