line,round,phase,log
1494,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1499,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1503,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1507,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1511,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1515,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1519,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1523,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1527,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1531,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1535,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1539,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1543,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1547,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1551,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1555,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1559,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1563,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1567,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1571,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1575,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1579,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1583,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1587,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1591,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1595,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1599,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1603,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1607,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1611,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1615,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1619,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1623,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1627,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1631,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1635,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1639,1,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1800,2,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1804,2,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1808,2,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
