line,round,client,train_acc,train_loss,train_avg_loss,train_total,log
1084,0,37,0.5125,447.268806,0.698858,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1088,0,48,0.517188,446.586563,0.697792,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1092,0,29,0.503125,444.473263,0.694489,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1096,0,10,0.478125,448.847775,0.701325,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1100,0,14,0.520312,444.60129,0.69469,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1106,0,1,0.485938,451.075596,0.704806,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1111,0,45,0.510938,446.39645,0.697494,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1115,0,47,0.46875,448.246246,0.700385,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1119,0,40,0.478125,453.609886,0.708765,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1123,0,24,0.520312,442.504274,0.691413,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1127,0,25,0.485938,446.305807,0.697353,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1131,0,49,0.521875,448.463066,0.700724,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1135,0,18,0.489063,449.510822,0.702361,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1139,0,13,0.49375,448.727884,0.701137,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1143,0,28,0.507812,444.403067,0.69438,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1147,0,34,0.509375,448.399811,0.700625,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1151,0,17,0.50625,445.728449,0.696451,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1155,0,3,0.479687,448.417822,0.700653,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1159,0,26,0.539062,444.472992,0.694489,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1163,0,15,0.476562,449.873224,0.702927,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1167,0,31,0.457813,450.558622,0.703998,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1171,0,6,0.507812,447.394928,0.699055,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1175,0,33,0.540625,446.25415,0.697272,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1179,0,2,0.507812,449.934999,0.703023,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1183,0,30,0.510938,446.379305,0.697468,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1187,0,36,0.503125,448.245438,0.700383,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1191,0,42,0.4875,446.265575,0.69729,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1195,0,20,0.503125,445.57571,0.696212,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1199,0,38,0.520312,445.905153,0.696727,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1203,0,11,0.503125,448.866405,0.701354,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1207,0,5,0.478125,451.464943,0.705414,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1211,0,7,0.473438,449.545959,0.702416,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1215,0,4,0.50625,444.92555,0.695196,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1219,0,21,0.4875,449.898203,0.702966,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1223,0,27,0.54375,443.805231,0.693446,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1227,0,39,0.5,446.108648,0.697045,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1231,0,22,0.484375,449.410419,0.702204,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1235,0,43,0.48125,447.618423,0.699404,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1239,0,32,0.478125,446.808483,0.698138,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1243,0,35,0.484375,445.735323,0.696461,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1247,0,8,0.521875,443.51844,0.692998,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1251,0,50,0.514062,447.009998,0.698453,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
1255,0,12,0.476562,446.882761,0.698254,640,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed2.log
