round,test_acc,val_acc
0,0.506498,0.486641
1,0.500641,0.527672
2,0.494051,0.521947
3,0.577888,0.594466
4,0.541278,0.514313
5,0.5054,0.486641
6,0.575508,0.578244
7,0.514919,0.492366
8,0.549698,0.54771
9,0.801025,0.80916
10,0.805967,0.81584
11,0.618159,0.61355
12,0.835072,0.843511
13,0.83672,0.847328
14,0.837818,0.844466
15,0.85173,0.851145
16,0.85173,0.854008
17,0.853011,0.85687
18,0.859418,0.860687
19,0.860333,0.862595
