line,log,kind,client_count,sample_size_total,client_delta_lora_A_mean,client_delta_lora_A_std,client_delta_lora_A_max,client_delta_lora_A_min,client_delta_lora_B_mean,client_delta_lora_B_std,client_delta_lora_B_max,client_delta_lora_B_min,client_delta_classifier_mean,client_delta_classifier_std,client_delta_classifier_max,client_delta_classifier_min,round,aggregator,aggregate_update_lora_A_norm,aggregate_update_lora_A_params,aggregate_update_lora_B_norm,aggregate_update_lora_B_params,aggregate_update_classifier_norm,aggregate_update_classifier_params,aggregate_lora_A_norm,aggregate_lora_A_params,aggregate_lora_B_norm,aggregate_lora_B_params,aggregate_classifier_norm,aggregate_classifier_params,aggregate_lora_product_norm
4858,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.23121137,0.03442394,0.26559115,0.0,0.0524099,0.00863715,0.06784006,0.0,10,ClientsAvgAggregator,,,,,,,,,,,,,
4859,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,10,ClientsAvgAggregator,0.0,0,0.16881357,73728,0.03889669,1184260,0.0,0,1.26427308,73728,21.7352185,1184260,0.0
5216,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.23309573,0.09723,0.40591345,0.0,0.0,0.0,0.0,0.0,0.05245128,0.00879265,0.06529086,0.0,11,ClientsAvgAggregator,,,,,,,,,,,,,
5217,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,11,ClientsAvgAggregator,0.20643898,73728,0.0,0,0.03926453,1184260,9.78229705,73728,0.0,0,21.73487494,1184260,0.0
5574,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.69345242,0.25785572,1.06282222,0.0,0.04981608,0.00791375,0.06198641,0.0,12,ClientsAvgAggregator,,,,,,,,,,,,,
5575,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,12,ClientsAvgAggregator,0.0,0,0.59228044,73728,0.03580898,1184260,0.0,0,1.53484492,73728,21.73436416,1184260,0.0
5932,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.22157469,0.03302163,0.25847097,0.0,0.05072241,0.00825435,0.06542736,0.0,13,ClientsAvgAggregator,,,,,,,,,,,,,
5933,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,13,ClientsAvgAggregator,0.0,0,0.15574711,73728,0.03750506,1184260,0.0,0,1.5391325,73728,21.73387689,1184260,0.0
6290,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.24622922,0.08826777,0.39735024,0.0,0.0,0.0,0.0,0.0,0.0472576,0.00761286,0.06268701,0.0,14,ClientsAvgAggregator,,,,,,,,,,,,,
6291,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,14,ClientsAvgAggregator,0.21390862,73728,0.0,0,0.03176103,1184260,9.78177178,73728,0.0,0,21.7335354,1184260,0.0
6648,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.66096417,0.23778125,1.00500327,0.0,0.04551127,0.00725285,0.05683363,0.0,15,ClientsAvgAggregator,,,,,,,,,,,,,
6649,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,15,ClientsAvgAggregator,0.0,0,0.56440334,73728,0.02905946,1184260,0.0,0,1.75882732,73728,21.73304149,1184260,0.0
7006,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.21595901,0.03185097,0.24110056,0.0,0.0474077,0.00805473,0.06115811,0.0,16,ClientsAvgAggregator,,,,,,,,,,,,,
7007,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,aggregate_result,,,,,,,,,,,,,,,16,ClientsAvgAggregator,0.0,0,0.15120581,73728,0.03395242,1184260,0.0,0,1.76167109,73728,21.73259118,1184260,0.0
