round,test_acc,val_acc
0,0.506498,0.486641
1,0.527549,0.528626
2,0.529563,0.502863
3,0.483617,0.502863
4,0.628409,0.642176
5,0.5054,0.486641
6,0.584843,0.571565
7,0.677467,0.674618
8,0.758008,0.777672
9,0.78931,0.812023
10,0.81695,0.833015
11,0.816584,0.833015
12,0.837269,0.846374
13,0.838184,0.848282
14,0.844408,0.851145
15,0.842028,0.849237
16,0.846604,0.854962
17,0.848252,0.855916
18,0.853377,0.854962
19,0.85356,0.861641
