round,test_acc,val_acc
0,0.509793,0.520992
1,0.509061,0.525763
2,0.563793,0.580153
3,0.506864,0.487595
4,0.72268,0.695611
5,0.816401,0.826336
6,0.4946,0.513359
7,0.754714,0.784351
8,0.512722,0.489504
9,0.652206,0.671756
10,0.692111,0.725191
11,0.738605,0.760496
12,0.708951,0.737595
13,0.758924,0.781489
14,0.7743,0.796756
15,0.7959,0.802481
16,0.803405,0.80916
17,0.810178,0.822519
18,0.825371,0.820611
19,0.829398,0.823473
