run_id,name,method,lr,seed,state,round,step,server_test_acc,server_val_acc,server_test_avg_loss
9aq0dp7o,rolora_lr1e-3_seed0,rolora,1e-3,0,crashed,19,19,0.5194922937443336,0.5152450090744102,0.6929758627741097
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,0,0,0.4768812330009066,0.49754990925589837,0.6954556369068183
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,1,1,0.4768812330009066,0.49754990925589837,0.6948196317862081
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,2,2,0.47778785131459656,0.49736842105263157,0.6943788853214745
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,3,3,0.47506799637352676,0.497005444646098,0.6939931927436283
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,4,4,0.48050770625566636,0.4957350272232305,0.6937235394933499
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,5,5,0.48322756119673616,0.4959165154264973,0.6937295309760196
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,6,6,0.47778785131459656,0.4968239564428312,0.6938875180315345
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,7,7,0.4786944696282865,0.4967332123411978,0.6937981217099879
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,8,8,0.4786944696282865,0.4961887477313975,0.6937870207636981
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,9,9,0.4814143245693563,0.49627949183303083,0.6937410943851834
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,10,10,0.4814143245693563,0.4969147005444646,0.6937236187680678
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,11,11,0.48050770625566636,0.5,0.6936220052235794
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,12,12,0.4796010879419764,0.49782214156079857,0.693630022885901
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,13,13,0.4823209428830462,0.49745916515426497,0.6936420413546419
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,14,14,0.4814143245693563,0.5026315789473684,0.6934024011234965
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,15,15,0.47506799637352676,0.5012704174228675,0.6934803367633767
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,16,16,0.48050770625566636,0.5012704174228675,0.6935321273094723
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,17,17,0.47506799637352676,0.5014519056261343,0.6934652539782381
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,18,18,0.48050770625566636,0.5015426497277677,0.6934622556430474
ouii6v7m,rolora_lr5e-4_seed0,rolora,5e-4,0,crashed,19,19,0.4786944696282865,0.5042649727767695,0.6933661378305388
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,0,0,0.4768812330009066,0.49754990925589837,0.6941426227769307
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,1,1,0.4768812330009066,0.49754990925589837,0.6937371814456293
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,2,2,0.5611967361740707,0.5409255898366606,0.6901044388954356
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,3,3,0.771532184950136,0.7726860254083484,0.4948565672444735
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,4,4,0.5231187669990934,0.5024500907441016,0.6925268280754712
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,5,5,0.4768812330009066,0.49754990925589837,0.693315941100756
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,6,6,0.4768812330009066,0.49754990925589837,0.6933007709891388
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,7,7,0.5611967361740707,0.5266787658802178,0.6925863515001368
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,8,8,0.5584768812330009,0.5656079854809437,0.6916385356232132
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,9,9,0.5258386219401632,0.503448275862069,0.6918260382719723
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,10,10,0.5893019038984587,0.5868421052631579,0.6834518865683029
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,11,11,0.6618313689936537,0.6447368421052632,0.6690255201414079
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,12,12,0.48685403445149594,0.508529945553539,0.6931247803587753
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,13,13,0.4768812330009066,0.49754990925589837,0.6935411818656506
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,14,14,0.5974614687216682,0.5690562613430127,0.6918916891946213
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,15,15,0.5394378966455122,0.5518148820326679,0.6898900049443907
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,16,16,0.5883952855847688,0.5950090744101634,0.6901140467534795
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,17,17,0.6137805983680871,0.5903811252268603,0.6856551776122528
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,18,18,0.6455122393472348,0.6200544464609801,0.6769434648649539
rkbj070c,rolora_lr5e-2_seed0,rolora,5e-2,0,crashed,19,19,0.6355394378966455,0.6280399274047187,0.6785521406210885
ccjhvfcj,rolora_lr5e-3_seed0,rolora,5e-3,0,crashed,0,0,0.48322756119673616,0.4957350272232305,0.6937821814933909
ccjhvfcj,rolora_lr5e-3_seed0,rolora,5e-3,0,crashed,1,1,0.47778785131459656,0.4997277676950998,0.6936448862200311
ccjhvfcj,rolora_lr5e-3_seed0,rolora,5e-3,0,crashed,2,2,0.4823209428830462,0.49773139745916517,0.6936577001919232
