line,round,phase,log
1519,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1523,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1527,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1531,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1535,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1539,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1543,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1547,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1551,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1555,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1559,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1563,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1567,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1571,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1575,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1579,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1583,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1587,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1591,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1595,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1599,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1603,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1607,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1611,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1615,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1619,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1623,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1627,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1631,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1635,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1640,1,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1804,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1808,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1812,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1817,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1821,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1825,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1829,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1833,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1837,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1841,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1845,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1849,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1853,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1857,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1861,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1865,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1869,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1873,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1877,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1881,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1885,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1889,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1893,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1897,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1901,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1905,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1909,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1913,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1917,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1921,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1925,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1929,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1933,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1937,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1941,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1945,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1949,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1953,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1957,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1961,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1965,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1969,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1973,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1977,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1981,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1985,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1989,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1993,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
1997,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2002,2,A,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2166,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2170,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2174,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2179,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2183,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2187,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2191,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2195,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2199,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2203,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2207,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2211,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2215,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2219,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2223,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2227,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2231,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2236,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2241,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2245,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2249,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2254,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2258,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2262,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2266,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2270,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2274,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2278,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2282,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2286,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
2290,3,B,results/overnight_proxy_bba_orth_gauge_c50_r4_lr1e-2_seed0.log
