line,log,kind,total_param_count,total_trainable_params,lora_product_norm,lora_A_norm,lora_A_params,lora_A_trainable_params,lora_B_norm,lora_B_params,lora_B_trainable_params,classifier_norm,classifier_params,classifier_trainable_params,round,phase,mode,update_lora_A_norm,update_lora_A_params,update_lora_B_norm,update_lora_B_params,update_classifier_norm,update_classifier_params,client,sample_size
1119,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01285928,9.79795887,73728,0,0.01285928,73728,73728,21.73953902,1184260,1184260,0,B,rolora,0.0,0,0.01285928,73728,0.03022685,1184260,,
1122,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1123,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01176906,9.79795887,73728,0,0.01176906,73728,73728,21.73954802,1184260,1184260,0,B,rolora,0.0,0,0.01176906,73728,0.03790831,1184260,,
1126,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1127,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.0198447,9.79795887,73728,0,0.0198447,73728,73728,21.73948258,1184260,1184260,0,B,rolora,0.0,0,0.0198447,73728,0.03391422,1184260,,
1130,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1131,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.0106955,9.79795887,73728,0,0.0106955,73728,73728,21.73950245,1184260,1184260,0,B,rolora,0.0,0,0.0106955,73728,0.02758154,1184260,,
1134,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1135,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01372159,9.79795887,73728,0,0.01372159,73728,73728,21.73949526,1184260,1184260,0,B,rolora,0.0,0,0.01372159,73728,0.04181853,1184260,,
1138,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1139,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01517055,9.79795887,73728,0,0.01517055,73728,73728,21.73950309,1184260,1184260,0,B,rolora,0.0,0,0.01517055,73728,0.0329428,1184260,,
1142,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1143,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01885694,9.79795887,73728,0,0.01885694,73728,73728,21.73945448,1184260,1184260,0,B,rolora,0.0,0,0.01885694,73728,0.03164824,1184260,,
1146,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
1147,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_end,1331716,1257988,0.01537112,9.79795887,73728,0,0.01537113,73728,73728,21.7394075,1184260,1184260,0,B,rolora,0.0,0,0.01537113,73728,0.02385661,1184260,,
1150,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log,fit_start,1331716,1257988,0.0,9.79795887,73728,0,0.0,73728,73728,21.74001254,1184260,1184260,0,B,rolora,,,,,,,,
