line,round,phase,log
20259,0,B,results/overnight_smoke_monitor_bba_mps.log
20264,0,B,results/overnight_smoke_monitor_bba_mps.log
20273,1,B,results/overnight_smoke_monitor_bba_mps.log
20278,1,B,results/overnight_smoke_monitor_bba_mps.log
