line,log,kind,client_count,sample_size_total,client_delta_lora_A_mean,client_delta_lora_A_std,client_delta_lora_A_max,client_delta_lora_A_min,client_delta_lora_B_mean,client_delta_lora_B_std,client_delta_lora_B_max,client_delta_lora_B_min,client_delta_classifier_mean,client_delta_classifier_std,client_delta_classifier_max,client_delta_classifier_min,round,aggregator,aggregate_update_lora_A_norm,aggregate_update_lora_A_params,aggregate_update_lora_B_norm,aggregate_update_lora_B_params,aggregate_update_classifier_norm,aggregate_update_classifier_params,aggregate_lora_A_norm,aggregate_lora_A_params,aggregate_lora_B_norm,aggregate_lora_B_params,aggregate_classifier_norm,aggregate_classifier_params,aggregate_lora_product_norm
20269,results/overnight_smoke_monitor_bba_mps.log,aggregate_client_drift,2,16,0.0,0.0,0.0,0.0,0.00093558,0.00093558,0.00187117,0.0,0.0140774,0.0140774,0.02815479,0.0,0,ClientsAvgAggregator,,,,,,,,,,,,,
20270,results/overnight_smoke_monitor_bba_mps.log,aggregate_result,,,,,,,,,,,,,,,0,ClientsAvgAggregator,0.0,0,0.00093558,73728,0.0140774,1184260,0.0,0,0.00108727,73728,21.77340554,1184260,0.0
20282,results/overnight_smoke_monitor_bba_mps.log,aggregate_client_drift,2,16,0.0,0.0,0.0,0.0,0.0022991,0.0022991,0.0045982,0.0,0.01522547,0.01522547,0.03045094,0.0,1,ClientsAvgAggregator,,,,,,,,,,,,,
20283,results/overnight_smoke_monitor_bba_mps.log,aggregate_result,,,,,,,,,,,,,,,1,ClientsAvgAggregator,0.0,0,0.0022991,73728,0.01522547,1184260,0.0,0,0.00202644,73728,21.77337537,1184260,0.0
