line,round,test_acc,val_acc,test_loss,val_loss,test_acc_std,test_acc_min,test_acc_max,val_acc_std,val_acc_min,val_acc_max,log
1643,0,0.519495,0.495229,75.697625,14.530659,0.055721,0.412844,0.633028,0.126335,0.238095,0.761905,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2004,1,0.50778,0.525763,75.705368,14.522527,0.046866,0.394495,0.587156,0.099777,0.285714,0.761905,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2365,2,0.513637,0.486641,75.687135,14.52958,0.052184,0.422018,0.623853,0.127708,0.238095,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2726,3,0.5054,0.486641,75.693924,14.543776,0.053123,0.422018,0.614679,0.129821,0.190476,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
3087,4,0.528281,0.512405,75.682787,14.5246,0.05359,0.409091,0.633028,0.132336,0.190476,0.761905,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
3448,5,0.569467,0.592557,75.587362,14.498601,0.046754,0.46789,0.654545,0.098881,0.380952,0.761905,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
3809,6,0.60864,0.583015,75.569293,14.500012,0.048107,0.481818,0.715596,0.119259,0.333333,0.857143,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
4170,7,0.522607,0.496183,75.553911,14.504604,0.054695,0.427273,0.633028,0.124758,0.238095,0.714286,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
4531,8,0.571847,0.539122,75.527301,14.495654,0.057674,0.431193,0.663636,0.115217,0.285714,0.761905,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
4892,9,0.826469,0.817748,55.697482,10.819886,0.031915,0.727273,0.899083,0.069856,0.666667,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
5253,10,0.82592,0.823473,46.554138,9.178626,0.032926,0.736364,0.889908,0.068285,0.666667,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
5614,11,0.831045,0.831107,45.019452,8.93673,0.03423,0.745455,0.889908,0.068301,0.619048,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
5975,12,0.827567,0.832061,44.538861,8.723537,0.033284,0.745455,0.880734,0.073332,0.619048,0.952381,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
6336,13,0.844225,0.836832,40.749635,8.338625,0.032959,0.770642,0.908257,0.071682,0.666667,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
6697,14,0.855757,0.850191,37.921,7.80417,0.033328,0.761468,0.917431,0.069591,0.619048,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
7058,15,0.857038,0.853053,37.676328,7.734607,0.031193,0.763636,0.909091,0.070145,0.619048,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
7419,16,0.857038,0.849237,37.736355,7.692554,0.031,0.770642,0.918182,0.071293,0.619048,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
7780,17,0.859601,0.854962,37.033512,7.674377,0.033385,0.754545,0.917431,0.072144,0.619048,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
8141,18,0.860516,0.862595,36.440579,7.544867,0.031318,0.754545,0.909091,0.077045,0.571429,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
8297,19,0.863628,0.861641,34.941695,7.230209,0.033882,0.772727,0.918182,0.068356,0.714286,1.0,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
