line,log,kind,client_count,sample_size_total,client_delta_lora_A_mean,client_delta_lora_A_std,client_delta_lora_A_max,client_delta_lora_A_min,client_delta_lora_B_mean,client_delta_lora_B_std,client_delta_lora_B_max,client_delta_lora_B_min,client_delta_classifier_mean,client_delta_classifier_std,client_delta_classifier_max,client_delta_classifier_min,round,aggregator,aggregate_update_lora_A_norm,aggregate_update_lora_A_params,aggregate_update_lora_B_norm,aggregate_update_lora_B_params,aggregate_update_classifier_norm,aggregate_update_classifier_params,aggregate_lora_A_norm,aggregate_lora_A_params,aggregate_lora_B_norm,aggregate_lora_B_params,aggregate_classifier_norm,aggregate_classifier_params,aggregate_lora_product_norm
1279,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.03769109,0.00856645,0.06860375,0.0,0.03998087,0.008659,0.06001296,0.0,0,ClientsAvgAggregator,,,,,,,,,,,,,
1280,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,0,ClientsAvgAggregator,0.0,0,0.03434867,73728,0.02942712,1184260,0.0,0,0.0063816,73728,21.77285423,1184260,0.0
1636,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.01996786,0.01084422,0.07174988,0.0,0.04101542,0.00962896,0.06144674,0.0,1,ClientsAvgAggregator,,,,,,,,,,,,,
1637,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,1,ClientsAvgAggregator,0.0,0,0.01202016,73728,0.03046444,1184260,0.0,0,0.0109235,73728,21.77231626,1184260,0.0
1994,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.01069085,0.00631863,0.02133643,0.0,0.0,0.0,0.0,0.0,0.04047805,0.00957098,0.07650309,0.0,2,ClientsAvgAggregator,,,,,,,,,,,,,
1995,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,2,ClientsAvgAggregator,0.01067005,73728,0.0,0,0.02941297,1184260,9.78805135,73728,0.0,0,21.77178076,1184260,0.0
2353,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.17207528,0.0540772,0.24379806,0.0,0.03725901,0.00730668,0.05432623,0.0,3,ClientsAvgAggregator,,,,,,,,,,,,,
2354,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,3,ClientsAvgAggregator,0.0,0,0.16615288,73728,0.02822219,1184260,0.0,0,0.11159415,73728,21.77128495,1184260,0.0
2710,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.01881005,0.00533737,0.03942651,0.0,0.03117112,0.00622751,0.04665859,0.0,4,ClientsAvgAggregator,,,,,,,,,,,,,
2711,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,4,ClientsAvgAggregator,0.0,0,0.01230651,73728,0.01822662,1184260,0.0,0,0.11448283,73728,21.77078895,1184260,0.0
3068,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.04078717,0.02375255,0.07858155,0.0,0.0,0.0,0.0,0.0,0.03199742,0.00741691,0.05546084,0.0,5,ClientsAvgAggregator,,,,,,,,,,,,,
3069,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,5,ClientsAvgAggregator,0.04038614,73728,0.0,0,0.02022271,1184260,9.77898532,73728,0.0,0,21.77029677,1184260,0.0
3426,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.79472607,0.36209269,1.27388723,0.0,0.05553731,0.01044368,0.07343595,0.0,6,ClientsAvgAggregator,,,,,,,,,,,,,
3427,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,6,ClientsAvgAggregator,0.0,0,0.70151349,73728,0.04196458,1184260,0.0,0,0.70858332,73728,21.76994688,1184260,0.0
3784,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.2418984,0.07912208,0.72321885,0.0,0.05082949,0.01007224,0.07630508,0.0,7,ClientsAvgAggregator,,,,,,,,,,,,,
3785,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,7,ClientsAvgAggregator,0.0,0,0.16986271,73728,0.03583152,1184260,0.0,0,0.74801229,73728,21.76980789,1184260,0.0
4142,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.23087467,0.11189862,0.43703051,0.0,0.0,0.0,0.0,0.0,0.05338884,0.00858803,0.06649998,0.0,8,ClientsAvgAggregator,,,,,,,,,,,,,
4143,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,8,ClientsAvgAggregator,0.2133847,73728,0.0,0,0.03816503,1184260,9.77982512,73728,0.0,0,21.76941784,1184260,0.0
4500,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.71439159,0.28221497,1.18878205,0.0,0.05143286,0.00933938,0.07324744,0.0,9,ClientsAvgAggregator,,,,,,,,,,,,,
4501,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,9,ClientsAvgAggregator,0.0,0,0.61570968,73728,0.03715734,1184260,0.0,0,1.19216477,73728,21.76895594,1184260,0.0
4858,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.2109501,0.03263368,0.24983461,0.0,0.0447435,0.00749699,0.06105578,0.0,10,ClientsAvgAggregator,,,,,,,,,,,,,
4859,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,10,ClientsAvgAggregator,0.0,0,0.13859242,73728,0.02960407,1184260,0.0,0,1.19970153,73728,21.76850161,1184260,0.0
5216,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.23585684,0.09886424,0.41453462,0.0,0.0,0.0,0.0,0.0,0.04710503,0.00884968,0.07173325,0.0,11,ClientsAvgAggregator,,,,,,,,,,,,,
5217,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,11,ClientsAvgAggregator,0.20954622,73728,0.0,0,0.03322097,1184260,9.77935913,73728,0.0,0,21.76813709,1184260,0.0
5574,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.74260641,0.2650329,1.1153945,0.0,0.04501808,0.00703392,0.05676791,0.0,12,ClientsAvgAggregator,,,,,,,,,,,,,
5575,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,12,ClientsAvgAggregator,0.0,0,0.63967743,73728,0.03179034,1184260,0.0,0,1.49494536,73728,21.76763141,1184260,0.0
5932,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.2414782,0.03812195,0.30935244,0.0,0.04879147,0.00957181,0.06947625,0.0,13,ClientsAvgAggregator,,,,,,,,,,,,,
5933,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,13,ClientsAvgAggregator,0.0,0,0.17479473,73728,0.03706554,1184260,0.0,0,1.49825432,73728,21.76712094,1184260,0.0
6290,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.23220552,0.09464202,0.39325405,0.0,0.0,0.0,0.0,0.0,0.0443005,0.00727819,0.05377956,0.0,14,ClientsAvgAggregator,,,,,,,,,,,,,
6291,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,14,ClientsAvgAggregator,0.20393149,73728,0.0,0,0.03041644,1184260,9.77775383,73728,0.0,0,21.76672163,1184260,0.0
6648,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.65452742,0.23226749,0.9747044,0.0,0.0471858,0.00751086,0.05581016,0.0,15,ClientsAvgAggregator,,,,,,,,,,,,,
6649,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,15,ClientsAvgAggregator,0.0,0,0.55844702,73728,0.03446568,1184260,0.0,0,1.72560362,73728,21.76622145,1184260,0.0
7006,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.0,0.0,0.0,0.0,0.21136737,0.03193905,0.2398118,0.0,0.04100836,0.00723726,0.05287239,0.0,16,ClientsAvgAggregator,,,,,,,,,,,,,
7007,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_result,,,,,,,,,,,,,,,16,ClientsAvgAggregator,0.0,0,0.14377468,73728,0.0268989,1184260,0.0,0,1.72820531,73728,21.76574172,1184260,0.0
7364,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed0.log,aggregate_client_drift,50,32000,0.2475627,0.09232604,0.40389344,0.0,0.0,0.0,0.0,0.0,0.04195181,0.00716715,0.05852376,0.0,17,ClientsAvgAggregator,,,,,,,,,,,,,
